0:01 0 1 |[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
0:18 0 2 |[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
0:35 0 3 |[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
0:49 0 3 |[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
0:54 0 4 |[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
1:08 0 5 |[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
1:20 0 6 |[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
1:33 0 7 |[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
1:34 0 7 |[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
1:48 0 8 |[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
2:01 0 8 |[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
2:02 0 9 |[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
2:14 0 10 |[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
2:25 0 10 |[0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
2:29 0 11 |[0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|
2:48 0 11 |[0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]|
2:50 0 12 |[0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]|
3:04 100 12 |[0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]|
3:06 100 13 |[0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]|
3:23 100 14 |[0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]|
3:32 200 14 |[0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]|
3:51 200 14 |[0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
3:53 200 15 |[0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
3:59 200 15 |[0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:13 200 16 |[0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:14 200 16 |[0, 0, 3, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:21 200 16 |[0, 0, 3, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:33 200 17 |[0, 0, 3, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:38 300 17 |[0, 0, 3, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:50 300 18 |[0, 0, 3, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
4:59 650 18 |[0, 0, 3, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
5:10 650 18 |[0, 0, 4, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
5:25 650 18 |[0, 0, 4, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
5:35 825 18 |[0, 0, 4, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
5:46 1175 18 |[0, 0, 4, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
6:07 1175 18 |[0, 0, 5, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
6:15 1175 18 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
6:25 1350 18 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
6:26 1525 18 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
6:57 1875 18 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
7:17 2050 18 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
7:19 2225 18 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
7:23 2225 19 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
7:39 2225 20 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
7:56 2225 21 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
8:07 2225 22 |[0, 0, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
8:13 2225 22 |[0, 1, 6, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]|
8:26 2225 22 |[0, 1, 6, 2, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0]|
