0 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
1 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
2 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
3 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
4 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
5 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
6 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
7 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
8 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
9 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
10 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
11 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
12 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
13 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
14 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
15 0 1 |[1, 0, 0]| | BBoongBBoong vs Guru |
16 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
17 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
18 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
19 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
20 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
21 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
22 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
23 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
24 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
25 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
26 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
27 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
28 0 2 |[2, 0, 0]| | BBoongBBoong vs Guru |
29 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
30 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
31 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
32 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
